COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms	    min latency	   latency 50th	   latency 90th	   latency 99th	    max latency
             Q_WC_02	    3	      1,000,000	    2,169,507,000	          460,934	  13	    8	   3,146	   2,174	     0	          1,000	          4,000	          9,000	         17,000	        691,000
             Q_WC_04	    3	      1,000,000	    9,906,785,000	          100,941	  14	    8	  10,845	  19,532	    38	          1,000	         14,000	         22,000	         35,000	        772,000
             Q_WC_08	    3	      1,000,000	   19,326,956,000	           51,741	  15	    9	  19,222	  41,222	     0	              0	         23,000	         30,000	         42,000	        409,000
             Q_WC_16	    3	      1,000,000	   24,300,164,000	           41,152	  16	   11	  23,254	  52,349	     0	          3,000	         27,000	         36,000	         49,000	        823,000
           Q_WC_X_01	    3	      1,000,000	    1,345,155,000	          743,409	  13	    7	   2,022	     466	     1	          1,000	          4,000	          8,000	         17,000	        800,000
           Q_WC_X_02	    3	      1,000,000	    1,655,269,000	          604,131	  13	    8	   3,330	   1,854	     1	          1,000	          6,000	         16,000	         31,000	        811,000
           Q_WC_X_04	    3	      1,000,000	    2,386,233,000	          419,071	  13	    8	   6,573	   6,176	    36	          1,000	         12,000	         36,000	        105,000	        798,000
           Q_WC_X_08	    3	      1,000,000	    2,342,202,000	          426,949	  13	   10	   7,596	   8,135	    41	          1,000	         19,000	        233,000	        691,000	      6,519,000
           Q_WC_X_16	    3	      1,000,000	    2,481,105,000	          403,046	  13	   11	   8,482	  10,533	     0	          2,000	         34,000	        121,000	        349,000	      2,907,000

COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {Q.type=disruptor-latest, Q.disruptor.lite-blocking=true, Q.disruptor.timeout=0}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms	    min latency	   latency 50th	   latency 90th	   latency 99th	    max latency
             Q_WC_01	    1	      1,000,000	    1,180,071,000	          847,407	  13	    8	   2,166	     414	   406	          1,000	          5,000	          9,000	         31,000	      1,276,000
             Q_WC_02	    1	      1,000,000	    1,521,616,000	          657,196	  13	    8	   2,721	   1,355	   243	          1,000	          4,000	          9,000	        585,000	      1,228,000
             Q_WC_04	    1	      1,000,000	    9,592,024,000	          104,253	  14	    8	  10,061	  18,714	   130	              0	         13,000	         20,000	         29,000	        743,000
             Q_WC_08	    1	      1,000,000	   18,077,208,000	           55,318	  15	    9	  17,338	  37,387	    32	          1,000	         22,000	         28,000	         38,000	        297,000
             Q_WC_16	    1	      1,000,000	   22,531,257,000	           44,383	  17	   22	  20,933	  47,196	     0	          1,000	         25,000	         33,000	         44,000	        822,000
           Q_WC_X_01	    1	      1,000,000	    1,064,416,000	          939,482	  13	    7	   1,698	     301	    42	          1,000	          4,000	          8,000	         65,000	        708,000
           Q_WC_X_02	    1	      1,000,000	      983,936,000	        1,016,326	  13	    8	   2,974	     655	    61	          1,000	          5,000	         10,000	         26,000	        726,000
